# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
0 4.57534e-13 4.41069e-13 4.31408e-13 1.33001e-12
250 0.602053 0.626819 0.60539 1.83426
500 1.18779 1.19206 1.25559 3.63543
750 1.66488 1.74014 1.76335 5.16837
1000 2.44735 2.32516 2.43326 7.20577
1250 2.97671 2.83617 2.71167 8.52455
1500 3.19656 3.55617 3.27235 10.0251
1750 3.78396 4.15715 3.79504 11.7362
2000 4.40805 4.76003 4.33488 13.503
2250 4.84132 5.35806 4.99524 15.1946
2500 5.0757 5.59319 5.3595 16.0284
2750 5.58105 6.1656 5.80441 17.5511
3000 6.35177 6.83597 6.49166 19.6794
3250 6.53398 7.3341 7.0882 20.9563
3500 7.15145 7.91259 7.58607 22.6501
3750 7.75788 8.35521 8.04766 24.1608
4000 8.38931 8.9912 9.03603 26.4165
4250 9.15716 9.86286 10.1064 29.1264
4500 9.59775 10.4135 10.4286 30.4398
4750 10.3694 10.5393 10.8732 31.7819
5000 10.8215 10.9136 11.0105 32.7457
5250 11.2847 11.0943 11.4005 33.7795
5500 11.7609 11.7772 11.9221 35.4602
5750 12.4415 12.0401 12.5746 37.0563
6000 12.7605 12.5946 12.8105 38.1656
6250 13.5596 13.636 13.4501 40.6457
6500 13.9988 14.326 13.9349 42.2597
6750 14.5344 14.9505 14.2766 43.7615
7000 15.1158 15.127 14.7237 44.9665
7250 15.4494 16.0583 15.0607 46.5684
7500 16.1632 16.2973 15.4928 47.9533
7750 16.809 16.4514 15.9138 49.1743
8000 17.3749 16.6434 16.2662 50.2846
8250 17.9411 17.0326 17.0078 51.9815
8500 18.8154 17.5734 17.3393 53.7281
8750 19.1534 17.4595 17.9161 54.529
9000 19.8164 18.1602 18.5508 56.5275
9250 20.3395 18.7003 19.0313 58.0711
9500 21.0152 19.1229 19.8691 60.0073
9750 21.4619 19.8386 20.3563 61.6568
10000 22.0376 19.9847 20.9761 62.9983
10250 22.4169 20.5385 22.1151 65.0706
10500 22.8338 21.6073 22.7749 67.2161
10750 23.1763 22.1081 23.1617 68.4461
11000 24.1618 23.1702 23.7292 71.0612
11250 25.2564 24.3146 24.0526 73.6236
11500 26.2948 24.8164 24.7591 75.8702
11750 26.6057 25.651 25.0043 77.261
12000 27.2133 25.9961 25.7822 78.9916
12250 27.5322 26.5868 26.4499 80.5689
12500 28.2449 27.0938 26.8186 82.1573
12750 28.7176 28.1958 27.2569 84.1704
13000 28.6391 28.828 27.7283 85.1953
13250 29.3366 29.0102 28.3297 86.6765
13500 29.7181 28.958 29.0918 87.7679
13750 29.9149 29.4247 30.096 89.4355
14000 30.264 29.6222 30.5215 90.4077
14250 30.6356 30.0113 30.4525 91.0994
14500 31.0419 30.9815 30.9361 92.9594
14750 31.468 31.4924 31.3316 94.2919
15000 31.6811 32.0514 31.6132 95.3456
15250 32.3202 32.3183 32.0902 96.7287
15500 33.6639 32.1215 32.2577 98.0431
15750 33.6117 32.4724 33.0287 99.1128
16000 34.1691 33.179 33.6947 101.043
16250 34.5214 33.9531 34.2037 102.678
16500 34.9655 34.6122 35.1352 104.713
16750 35.8472 35.4363 35.5636 106.847
17000 36.3597 35.6762 36.3098 108.346
17250 36.7803 36.7401 37.3003 110.821
17500 37.1121 37.0374 37.7726 111.922
17750 37.9172 37.7396 38.2828 113.94
18000 38.7943 38.4213 38.5544 115.77
18250 39.6904 38.8928 39.2457 117.829
18500 40.7641 39.1785 39.848 119.791
18750 41.0667 40.1345 40.8537 122.055
19000 41.9056 40.8653 41.4919 124.263
